message_type,repeat_indicator,source_mmsi,name,navigational_status_description,rate_of_turn,speed_over_ground,position_10m_accuracy?,longitude,latitude,course_over_ground,true_heading,time_stamp,special_manoeuvre,raim?
1,0,235014365,Red Falcon,Under way using engine,10.04406487501679,14.3,false,-1.31585,50.831466666666664,140.0,141,16,0,false
1,0,235014365,Red Falcon,Under way using engine,5.401474888342364,14.3,false,-1.3146166666666668,50.83048333333333,141.8,142,36,0,false
1,0,235014365,Red Falcon,Under way using engine,0.0,14.3,false,-1.3143,50.830216666666665,142.2,142,41,0,false
1,0,235014365,Red Falcon,Under way using engine,5.401474888342364,14.3,false,-1.3126833333333334,50.828916666666665,141.7,141,5,0,false
1,0,235014365,Red Falcon,Under way using engine,5.401474888342364,14.3,false,-1.3116,50.82803333333333,142.0,142,22,0,false
1,0,235014365,Red Falcon,Under way using engine,-10.04406487501679,14.1,false,-1.2959166666666666,50.81483333333333,150.2,149,34,0,false
1,0,235014365,Red Falcon,Under way using engine,5.401474888342364,14.1,false,-1.2949333333333333,50.81385,148.4,147,53,0,false
1,0,235014365,Red Falcon,Under way using engine,19.686367155032915,14.2,false,-1.2938666666666667,50.812783333333336,148.4,151,11,0,false
1,0,235014365,Red Falcon,Under way using engine,30.176834913383782,14.3,false,-1.2932833333333333,50.812083333333334,151.4,156,23,0,false
3,0,235014365,Red Falcon,Under way using engine,19.686367155032915,14.1,false,-1.2927,50.81125,157.8,162,37,0,false
3,0,235014365,Red Falcon,Under way using engine,19.686367155032915,14.1,false,-1.2926666666666666,50.81118333333333,158.0,162,38,0,false
3,0,235014365,Red Falcon,Under way using engine,25.712806080042984,14.1,false,-1.2922666666666667,50.810433333333336,161.7,166,50,0,false
3,0,235014365,Red Falcon,Under way using engine,30.176834913383782,14.1,false,-1.29215,50.810183333333335,162.9,168,54,0,false
3,0,235014365,Red Falcon,Under way using engine,34.99798605339185,14.1,false,-1.2919,50.80955,167.2,173,4,0,false
3,0,235014365,Red Falcon,Under way using engine,34.99798605339185,14.1,false,-1.29185,50.80943333333333,167.6,175,6,0,false
3,0,235014365,Red Falcon,Under way using engine,34.99798605339185,14.1,false,-1.2917833333333333,50.80916666666667,169.9,176,10,0,false
3,0,235014365,Red Falcon,Under way using engine,34.99798605339185,14.1,false,-1.2917666666666667,50.80903333333333,171.2,178,12,0,false
3,0,235014365,Red Falcon,Under way using engine,30.176834913383782,14.0,false,-1.2916666666666667,50.80838333333333,176.1,183,23,0,false
3,0,235014365,Red Falcon,Under way using engine,30.176834913383782,13.9,false,-1.2916666666666667,50.80825,177.4,184,25,0,false
3,0,235014365,Red Falcon,Under way using engine,25.712806080042984,13.9,false,-1.2916666666666667,50.80813333333333,177.9,184,27,0,false
